"","result_1a_slope","result_1a_se","result_1b_p","result_1c_AIC","result_1d_slope","result_1d_se","result_1e_p","result_1f_AIC","result_2a_slope","result_2a_se","result_2b_p","result_2c_AIC","result_2d_slope","result_2d_se","result_2e_p","result_2f_AIC","result_3a_slope","result_3a_se","result_3b_p","result_3c_AIC","result_3d_slope","result_3d_se","result_3e_p","result_3f_AIC"
"255",-0.107118676287959,0.021086266430175,4.34354711899971e-06,-167.481410612077,-0.0943494206196372,0.0208689271978321,3.16004286189515e-05,-171.86542734383,0.730366464999625,0.0534022203480296,1.19347489794747e-19,-56.6025097854837,0.779040181069448,0.0483258046654058,6.77259574459777e-23,-71.5845107634645,1.25147665352747e-10,0.0534022203568363,0.999999998138347,-56.6025097854836,-8.84402299865589e-10,0.0483258046100101,0.999999985461951,-71.5845107634645
"256",-0.134393093984226,0.0244294834168293,9.28462003654576e-07,-154.842895033705,-0.09368595423589,0.0208170631194129,3.39429579919081e-05,-172.127141892564,0.653958578219989,0.0510289945183361,1.98772215602183e-18,-61.1126142084772,0.774563666983628,0.0472819844207318,3.17911489202039e-23,-73.7778920777051,1.34464613728196e-10,0.0510289945299712,0.999999997906725,-61.1126142084773,-4.77313519586619e-10,0.047281984398813,0.999999991980572,-73.777892077705
"257",-0.110370470950947,0.0219147973310345,5.08641724650392e-06,-172.18245701282,-0.0973378000169403,0.0206128380321582,1.56210343717844e-05,-173.486665223508,0.706959653084226,0.0506515809426595,4.87226627097497e-20,-70.1080736102355,0.771736193038312,0.0466112717276924,1.92350705648535e-23,-75.6855678970344,-3.80684163218756e-11,0.0506515809404546,0.999999999402955,-70.1080736102356,2.5467718583984e-11,0.046611271729171,0.999999999565955,-75.6855678970343
"258",-0.0702701635885306,0.024418398595735,0.00562808234599311,-150.622140278961,-0.0976141552506594,0.0208265517473,1.76847360218996e-05,-172.628244166795,0.660946573277714,0.0460462887753933,1.39673151313625e-20,-60.5351004738538,0.771623745158173,0.0483445393385197,1.07947209802337e-22,-72.0410804504142,3.77127265917211e-09,0.0460462891964036,0.999999934937813,-60.5351004738541,-1.77217344813933e-11,0.0483445393373561,0.999999999708798,-72.0410804504141
"259",-0.0976271344073091,0.0224964107738186,5.90270112212531e-05,-166.768063198166,-0.0913007026920766,0.0209834061115891,5.67685606008373e-05,-171.051283706604,0.748373113506432,0.0536624433029069,5.05138452204495e-20,-61.7218232239793,0.792063679778408,0.0490798605201283,6.43304450476553e-23,-70.0436457406025,-4.06257617191668e-11,0.0536624433006646,0.999999999398596,-61.7218232239794,-5.0246665348801e-11,0.0490798605170343,0.999999999186721,-70.0436457406025
"260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",-0.0997860409294122,0.0223441042552417,3.82569942397665e-05,-172.701081373598,-0.094070832233969,0.0211299898333698,4.01348033846133e-05,-171.597289632105,0.755276462156437,0.0551945125332378,1.16621007219251e-19,-65.549878615124,0.780835517731847,0.0493265858137097,1.5860805925775e-22,-71.2773928554219,4.55063358395406e-11,0.0551945125343405,0.999999999345045,-65.549878615124,3.97710605153689e-11,0.0493265858147248,0.999999999359497,-71.2773928554218
"262",-0.090077355795435,0.0237421546992138,0.000360888043480758,-162.727672172063,-0.0927969577818382,0.020632556307252,3.42789976118948e-05,-172.240448599023,0.7452923053655,0.0556690036478924,3.03244169125643e-19,-60.9138675486409,0.782424246419582,0.0468081257490604,1.22345575292363e-23,-73.8839440779232,4.9342049225568e-11,0.0556690036495303,0.999999999295892,-60.9138675486409,-3.46244697792148e-11,0.0468081257464449,0.999999999412379,-73.8839440779231
"263",-0.115534673432237,0.0217286693522371,1.83009552856032e-06,-164.272368514745,-0.0963385033921346,0.0207361584556348,2.04329737875188e-05,-173.863117642576,0.718909531133648,0.0458490372953941,2.47012625195473e-22,-68.8927974491002,0.773936605024197,0.0469383338827505,2.34034267840647e-23,-75.4300066767394,-5.4430505083225e-11,0.0458490372888912,0.999999999056922,-68.8927974491002,7.26061317787378e-11,0.0469383338894248,0.999999998771201,-75.4300066767395
"264",-0.0638157508129701,0.0252853171837311,0.0144198309851062,-149.110884595475,-0.0927274636435496,0.0209762015684383,4.47230952785342e-05,-171.119562945106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265",-0.124890174403568,0.0243497245340594,3.63667895173181e-06,-158.108919202852,-0.0934281737023008,0.0209166405327695,3.81495997304626e-05,-171.305060487767,0.702039185994729,0.0539689534453486,1.05040107241927e-18,-62.6004308016133,0.779671980871877,0.0481745065405724,5.62710394054332e-23,-71.9082122290301,-2.35247696676964e-10,0.0539689534365328,0.999999996537285,-62.6004308016132,2.39668366293129e-11,0.0481745065417634,0.999999999604789,-71.9082122290301
"266",-0.130526797047704,0.0231353377302924,5.50798941969539e-07,-157.528610354374,-0.0941966853110204,0.0211385073209505,3.95624836979571e-05,-171.672874837289,0.716342196835723,0.0574325559886457,6.24996778013846e-18,-50.5656855904985,0.78065836193494,0.0496044361405288,2.08213142181179e-22,-70.8609688082495,4.9651300943828e-11,0.0574325559907141,0.999999999313235,-50.5656855904985,2.45581459228751e-11,0.0496044361410524,0.999999999606712,-70.8609688082495
"267",-0.103843893641739,0.0235760792255533,4.72490499276609e-05,-162.443817011265,-0.0931844649609285,0.0208827122022712,3.87359136913133e-05,-172.243357398612,0.741538517896973,0.052429234582567,2.70271483100177e-20,-65.4114137896514,0.783896617474841,0.0483299157628802,5.07834333256511e-23,-72.6110470588396,-2.74645530060443e-09,0.0524292344016772,0.999999958386487,-65.4114137896514,-1.44389248103555e-11,0.048329915762165,0.999999999762669,-72.6110470588395
"268",-0.0961450019332593,0.0229637641574469,9.910712385053e-05,-167.000681046093,-0.0908537122410641,0.0208636330020016,5.60826545545452e-05,-171.657433847965,0.746739553464093,0.0513154488289897,7.54192086541537e-21,-68.9531578952007,0.787152637629572,0.0478405132826679,2.58530810970239e-23,-72.5468646697839,2.09694765824362e-11,0.0513154488305241,0.99999999967538,-68.9531578952007,3.69901168257984e-11,0.0478405132856879,0.999999999385778,-72.5468646697838
